generator,sigma,dim_embedding,alignment,regret,per_query_alignment
CMAES,0.01,8,0.6392520038491588,1.4780011766761518,0.5400326277853034
CMAES,0.01,8,0.7354587458861712,0.35227561480743635,0.5938596759967425
CMAES,0.01,8,0.7470598021233913,1.1385394300230978,0.6917793965758643
CMAES,0.01,8,0.7890678809119016,0.6213172813177563,0.7230826994325557
CMAES,0.01,8,0.7869268532798828,1.0431322956389797,0.7201531084297478
CMAES,0.01,8,0.8065518146967731,0.48840377192609113,0.6784773136595491
CMAES,0.01,8,0.8186699683473665,0.6139484147422566,0.590723073688973
CMAES,0.01,8,0.7281345099198152,0.23216443343639953,0.658811659280523
CMAES,0.01,8,0.7922431954370696,0.013797070608618463,0.7414476088552483
CMAES,0.01,8,0.7782521349336468,0.572410436936396,0.6632465181937869
CMAES,0.01,8,0.7887061151481439,0.6910026259338681,0.6424258594805259
CMAES,0.01,8,0.7532569638689877,0.26892572164256107,0.5928366825448306
CMAES,0.01,8,0.8517927247558982,0.6792376726851411,0.7915786637790849
CMAES,0.01,8,0.7072227984991731,0.8098304546861871,0.48316071795160664
CMAES,0.01,8,0.8287377160640865,0.6613160358584769,0.7439353329728008
CMAES,0.01,8,0.7832125582861063,0.6272391027685682,0.7116870866443271
CMAES,0.01,8,0.5876995143259399,0.9477522446416418,0.47460718233952226
CMAES,0.01,8,0.7606701419159957,0.24260314881559217,0.6567710830346004
CMAES,0.01,8,0.8389511600303952,0.6892452387798434,0.8169954749604889
CMAES,0.01,8,0.8326157647333736,0.8641894922497179,0.7341513375305915
CMAES,0.01,8,0.6756233137003028,0.6157051276742072,0.3756314919844084
CMAES,0.01,8,0.8051601868928105,0.5903280473671317,0.7341905528518354
CMAES,0.01,8,0.7813279107123172,0.3105852843055765,0.6257652635828863
CMAES,0.01,8,0.8403162150615844,0.34720435554375984,0.76124579899386
CMAES,0.01,8,0.7847564389125765,0.8280780856528127,0.653034810207131
CMAES,0.01,8,0.6962348360703893,0.9146822966746434,0.5780866409253284
CMAES,0.01,8,0.6374942044620371,1.0402757306325823,0.49083644085615086
CMAES,0.01,8,0.8033583175615647,0.5914569525764082,0.7303165503282063
CMAES,0.01,8,0.7103979327749443,0.7237936666898357,0.6202128205546746
CMAES,0.01,8,0.6658028212842956,1.0727843918853972,0.5724977353555846
CMAES,0.01,8,0.779130891621517,0.6532499379582202,0.6878780806876396
CMAES,0.01,8,0.8234383680727099,0.9839691062725946,0.7806172269415973
CMAES,0.01,8,0.5973664477758122,0.7069687009237816,0.5773665858126035
CMAES,0.01,8,0.6712372009203164,1.0988079836862483,0.636368298218544
CMAES,0.01,8,0.7730018258155448,0.705978531942076,0.6240642742800799
CMAES,0.01,8,0.7493683155071049,0.3670350152309415,0.7108118720718851
CMAES,0.01,8,0.8380924875698236,0.31327750641724966,0.7160819363597859
CMAES,0.01,8,0.707321296253578,1.0412613047840538,0.7266457452238808
CMAES,0.01,8,0.8087219890673525,0.41588867509414074,0.6129177923140913
CMAES,0.01,8,0.7635246744432076,0.4894167480857078,0.7630193947549659
